Wall time,Step,Value
1662553892.608373,1684,3.544958235579543e-05
1662553894.0395463,1689,4.334244295023382e-05
1662553894.954423,1692,4.326568523538299e-05
1662553897.2357795,1699,2.953612056444399e-05
1662553897.5734699,1700,3.059623850276694e-05
1662553898.8061898,1704,3.232254312024452e-05
1662553899.7367983,1707,2.9548044039984234e-05
1662553901.1989791,1710,2.928052890638355e-05
1662553901.5324478,1711,2.967831096611917e-05
1662553901.8596468,1712,3.00479878205806e-05
1662553903.4249465,1717,2.950218004116323e-05
1662553904.6093519,1720,2.8860795282525942e-05
1662553907.3500473,1728,2.9235883630462922e-05
1662553907.6566393,1729,2.920268161688e-05
1662553909.0639772,1734,2.8879690944449976e-05
1662553910.5235972,1737,2.8721920898533426e-05
1662553911.5106127,1739,2.865012902475428e-05
1662553911.9852288,1740,2.8622062018257566e-05
1662553913.0277092,1742,2.8576907425303943e-05
1662553913.5162048,1743,2.8558297344716266e-05
1662553914.561901,1745,2.852612487913575e-05
1662553915.0462387,1746,2.851185308827553e-05
1662553916.1156507,1748,2.8486407245509326e-05
1662553918.6047223,1753,2.8452001060941257e-05
1662553920.739192,1759,2.8750338969985023e-05
1662553921.6012983,1762,2.9815788366249762e-05
1662553921.8859541,1763,3.0659797630505636e-05
1662553922.83508,1766,3.762467531487346e-05
1662553923.9734652,1770,7.858320168452337e-05
1662553926.0725572,1777,3.1187591957859695e-05
1662553926.346205,1778,4.696726318798028e-05
1662553927.0207021,1780,5.141401197761297e-05
1662553927.3142073,1781,3.516617289278656e-05
1662553927.9873264,1783,3.671956801554188e-05
1662553929.250469,1787,2.893256714742165e-05
1662553929.5540469,1788,3.474653931334615e-05
1662553929.8581457,1789,3.8032972952350974e-05
1662553934.521533,1803,3.020102303707972e-05
1662553935.099531,1805,2.8010341338813305e-05
1662553936.1541958,1808,2.9172777431085706e-05
1662553936.4743319,1809,2.8442054826882668e-05
1662553937.3788712,1811,2.796649823721964e-05
1662553938.550758,1815,2.7681770006893203e-05
1662553940.126857,1819,2.7824429707834497e-05
1662553940.9072073,1821,2.7603462513070554e-05
1662553941.1884685,1822,2.7767917345045134e-05
1662553941.7434924,1824,2.7670705094351433e-05
1662553943.9097884,1830,2.7419597245170735e-05
1662553945.273732,1833,2.7404505090089515e-05
1662553947.8132372,1839,2.725952072069049e-05
1662553948.6097488,1841,2.719491021707654e-05
1662553952.2301962,1848,2.7041091016144492e-05
1662553953.2540905,1850,2.7007403332390822e-05
1662553953.7561593,1851,2.6998042812920175e-05
1662553954.2292938,1852,2.698272146517411e-05
1662553955.6860716,1855,2.6910558517556638e-05
1662553956.6353557,1857,2.6879853976424783e-05
1662553957.356048,1858,2.6865844120038673e-05
1662553958.3977966,1860,2.682825106603559e-05
1662553964.5135326,1875,2.8777163606719114e-05
1662553965.1054134,1877,3.2940704841166735e-05
1662553966.0094645,1880,5.76708116568625e-05
